ID,NAME,POS,DATEOFBIRTH,PLACEOFBIRTH,AGE,DATEOFDEATH,NATIONALITY,HEIGHT,WEIGHT,URL,STATUS
123,Johnny Haynes,FW,,,,,,,,,
124,Roger Milla,FW,,,,,,,,,
125,Jari Litmanen,MF,,,,,,,,,
126,Duncan Edwards,MF,,,,,,,,,
127,Jimmy Johnstone,FW,,,,,,,,,
128,Jose Luis Chilavert,GK,,,,,,,,,
129,Claudio Caniggia,FW,,,,,,,,,
130,Tostao,FW,,,,,,,,,
131,Tom Finney,FW,,,,,,,,,
132,Ryan Giggs,MF,,,,,,,,,
133,Wayne Rooney,FW,,,,,,,,,
134,Didier Drogba,FW,,,,,,,,,
135,Zlatan Ibrahimovic,FW,,,,,,,,,
136,Samuel Eto'o,FW,,,,,,,,,
137,Iker Casillas,GK,,,,,,,,,
138,Karim Benzema,FW,,,,,,,,,
139,Alessandro Del Piero,FW,,,,,,,,,
140,Sergio Ramos,DF,,,,,,,,,
141,Rinat Dasayev,GK,,,,,,,,,
142,Sergio Aguero,FW,,,,,,,,,
143,Luis Suarez,FW,,,,,,,,,
144,Ruud van Nistelrooy,FW,,,,,,,,,
145,Francisco Gento,FW,,,,,,,,,
146,Arjen Robben,FW,,,,,,,,,
147,Cesc Fabregas,MF,,,,,,,,,
148,Kevin De Bruyne,MF,,,,,,,,,
149,Thomas Muller,FW,,,,,,,,,
150,Yaya Toure,MF,,,,,,,,,
151,Paul Scholes,MF,,,,,,,,,
152,Patrick Vieira,MF,,,,,,,,,
153,Marcel Desailly,DF,,,,,,,,,
154,David Villa,FW,,,,,,,,,
155,Lilian Thuram,DF,,,,,,,,,
156,Francesco Totti,MF,,,,,,,,,
157,Andrea Pirlo,MF,,,,,,,,,
158,Petr Cech,GK,,,,,,,,,
159,Eden Hazard,MF,,,,,,,,,
160,Edinson Cavani,FW,,,,,,,,,
161,Pierre-Emerick Aubameyang,FW,,,,,,,,,
162,Harry Kane,FW,,,,,,,,,
163,Michael Ballack,MF,,,,,,,,,
164,Berti Vogts,DF,,,,,,,,,
165,Robin van Persie,FW,,,,,,,,,
166,Mesut Ozil,MF,,,,,,,,,
167,Kylian Mbappe,FW,,,,,,,,,
168,Bastian Schweinsteiger,MF,,,,,,,,,
169,John Terry,DF,,,,,,,,,
170,Toni Kroos,MF,,,,,,,,,
171,Gareth Bale,MF,,,,,,,,,
172,Christian Vieri,FW,,,,,,,,,
173,Philipp Lahm,DF,,,,,,,,,
174,Peter Shilton,GK,,,,,,,,,
175,Ferenc Bene,FW,,,,,,,,,
176,Rudi Voller,FW,,,,,,,,,
177,Fabien Barthez,GK,,,,,,,,,
178,Bryan Robson,MF,,,,,,,,,
179,Johan Neeskens,MF,,,,,,,,,
180,Edwin van der Sar,GK,,,,,,,,,
181,Thibaut Courtois,GK,,,,,,,,,
182,Mario Gotze,MF,,,,,,,,,
183,Paul Pogba,MF,,,,,,,,,
184,Hugo Lloris,GK,,,,,,,,,
185,Radamel Falcao,FW,,,,,,,,,
186,Miroslav Klose,FW,,,,,,,,,
187,David Seaman,GK,,,,,,,,,
188,Sadio Mane,MF,,,,,,,,,
189,Jimmy Floyd Hasselbaink,FW,,,,,,,,,
190,Edin Dzeko,FW,,,,,,,,,
191,Andy Cole,FW,,,,,,,,,
192,David de Gea,GK,,,,,,,,,
193,Ian Wright,FW,,,,,,,,,
194,Neville Southall,GK,,,,,,,,,
195,Michael Essien,DF,,,,,,,,,
196,Diego Forlan,FW,,,,,,,,,
197,Arturo Vidal,MF,,,,,,,,,
198,Jan Ceulemans,MF,,,,,,,,,
199,Dimitar Berbatov,FW,,,,,,,,,
200,Wolfgang Overath,MF,,,,,,,,,
201,Dwight Yorke,FW,,,,,,,,,
202,Jamie Vardy,FW,,,,,,,,,
203,David Trezeguet,FW,,,,,,,,,
204,Sami Hyypia,DF,,,,,,,,,
205,Emmanuel Adebayor,FW,,,,,,,,,
206,Patrick Kluivert,FW,,,,,,,,,
207,John Barnes,MF,,,,,,,,,
208,Xabi Alonso,MF,,,,,,,,,
209,William Gallas,DF,,,,,,,,,
210,Grzegorz Lato,MF,,,,,,,,,
211,Diego,MF,,,,,,,,,
212,Joe Cole,MF,,,,,,,,,
213,Jens Lehmann,GK,,,,,,,,,
214,Fernando Hierro,DF,,,,,,,,,
215,Carlos Tevez,FW,,,,,,,,,
216,Robert Pires,FW,,,,,,,,,
217,Gianluca Vialli,FW,,,,,,,,,
218,Dimitri Payet,FW,,,,,,,,,
219,Thiago Silva,DF,,,,,,,,,
220,James Rodriguez,MF,,,,,,,,,
221,Roberto Firmino,FW,,,,,,,,,
222,Marcelo,DF,,,,,,,,,
223,Mats Hummels,DF,,,,,,,,,
224,Angel Di Maria,MF,,,,,,,,,
225,Roy Keane,MF,,,,,,,,,
226,Hernan Crespo,FW,,,,,,,,,
227,Mario Mandzukic,FW,,,,,,,,,
228,David Platt,MF,,,,,,,,,
229,Gianfranco Zola,FW,,,,,,,,,
230,Lukas Podolski,FW,,,,,,,,,
231,Mohamed Salah,FW,,,,,,,,,
232,Peter Beardsley,FW,,,,,,,,,
233,Tomas Brolin,FW,,,,,,,,,
234,Alexis Sanchez,FW,,,,,,,,,
235,Paul McGrath,DF,,,,,,,,,
236,Mario Balotelli,FW,,,,,,,,,
237,Philippe Coutinho,FW,,,,,,,,,
238,Tim Cahill,FW,,,,,,,,,
239,Emmanuel Petit,MF,,,,,,,,,
240,Park Ji-Sung,MF,,,,,,,,,
241,Florent Malouda,MF,,,,,,,,,
242,Rio Ferdinand,DF,,,,,,,,,
243,Paul Van Himst,FW,,,,,,,,,
244,Nemanja Vidic,DF,,,,,,,,,
245,Riyad Mahrez,MF,,,,,,,,,
246,Harry Kewell,MF,,,,,,,,,
247,Mark Hughes,FW,,,,,,,,,
248,Sol Campbell,DF,,,,,,,,,
249,Nwankwo Kanu,FW,,,,,,,,,
250,Kurt Hamrin,MF,,,,,,,,,
251,Tibor Nyilasi,MF,,,,,,,,,
252,Horst Szymaniak,MF,,,,,,,,,
253,Pirri,MF,,,,,,,,,
254,Marius Tresor,DF,,,,,,,,,
255,Andreas Moller,MF,,,,,,,,,
256,Tomas Rosicky,MF,,,,,,,,,
257,Claude Makelele,MF,,,,,,,,,
258,Thiago Alcantara,MF,,,,,,,,,
259,Rafael van der Vaart,MF,,,,,,,,,
260,Enzo Scifo,MF,,,,,,,,,
261,Hristo Bonev,MF,,,,,,,,,
262,Oleksandr Zavarov,MF,,,,,,,,,
263,Sepp Maier,GK,,,,,,,,,
264,Juan Alberto Schiaffino,MF,,,,,,,,,
265,Laurent Blanc,DF,,,,,,,,,
266,Michel Preud'homme,GK,,,,,,,,,
267,Dragan Stojkovic,MF,,,,,,,,,
268,Gyula Grosics,GK,,,,,,,,,
269,El Hadji Diouf,MF,,,,,,,,,
270,Yoann Gourcuff,MF,,,,,,,,,
271,Kolo Toure,DF,,,,,,,,,
272,Djibril Cisse,FW,,,,,,,,,
273,Ricardo Carvalho,DF,,,,,,,,,
274,David Ginola,MF,,,,,,,,,
275,Harald Schumacher,GK,,,,,,,,,
276,Henrik Larsson,FW,,,,,,,,,
277,Nani,FW,,,,,,,,,
278,Diego Costa,FW,,,,,,,,,
279,Gary Pallister,DF,,,,,,,,,
280,Asamoah Gyan,FW,,,,,,,,,
281,Gordon Strachan,MF,,,,,,,,,
282,Dean Saunders,FW,,,,,,,,,
283,Marc Overmars,MF,,,,,,,,,
284,Gerhard Hanappi,MF,,,,,,,,,
285,Mario Coluna,MF,,,,,,,,,
286,Valery Voronin,MF,,,,,,,,,
287,Youri Djorkaeff,MF,,,,,,,,,
288,Sylvain Wiltord,FW,,,,,,,,,
289,Frederic Kanoute,FW,,,,,,,,,
290,Sandor Kocsis,FW,,,,,,,,,
291,Ivan Rakitic,MF,,,,,,,,,
292,Ronnie Hellstrom,GK,,,,,,,,,
293,Wilfried Van Moer,MF,,,,,,,,,
294,Sandro Mazzola,FW,,,,,,,,,
295,Pat Jennings,GK,,,,,,,,,
296,Franco Causio,MF,,,,,,,,,
297,Rainer Bonhof,MF,,,,,,,,,
298,Bruno Pezzey,DF,,,,,,,,,
299,Ronald Koeman,DF,,,,,,,,,
300,Juninho,MF,,,,,,,,,
301,Philippe Albert,DF,,,,,,,,,
302,Jean-Marie Pfaff,GK,,,,,,,,,
303,Brian Laudrup,FW,,,,,,,,,
304,Luca Toni,FW,,,,,,,,,
305,Roberto Bettega,FW,,,,,,,,,
306,Andrey Arshavin,MF,,,,,,,,,
307,Lajos Tichy,FW,,,,,,,,,
308,Juan Sebastian Veron,MF,,,,,,,,,
309,Geoff Hurst,FW,,,,,,,,,
310,Alessandro Altobelli,FW,,,,,,,,,
311,Oliver Bierhoff,FW,,,,,,,,,
312,Pauleta,FW,,,,,,,,,
313,Virgil van Dijk,DF,,,,,,,,,
314,Luis Enrique,MF,,,,,,,,,
315,Wesley Sneijder,MF,,,,,,,,,
316,Milan Baros,FW,,,,,,,,,
317,Dani Alves,DF,,,,,,,,,
318,Papa Bouba Diop,DF,,,,,,,,,
319,Christian Ziege,DF,,,,,,,,,
320,Ludovic Giuly,MF,,,,,,,,,
321,Cris,DF,,,,,,,,,
322,Diego Godin,DF,,,,,,,,,
323,Fernando Morientes,FW,,,,,,,,,
324,Gaizka Mendieta,MF,,,,,,,,,
325,Jamie Carragher,DF,,,,,,,,,
326,Ivan Kolev,FW,,,,,,,,,
327,Albert Shesternyov,DF,,,,,,,,,
328,Alan Ball,MF,,,,,,,,,
329,Ove Kindvall,FW,,,,,,,,,
330,Wlodzimierz Lubanski,FW,,,,,,,,,
331,Giancarlo Antognoni,MF,,,,,,,,,
332,Liam Brady,MF,,,,,,,,,
333,Glenn Hysen,DF,,,,,,,,,
334,Clarence Seedorf,MF,,,,,,,,,
335,Alessandro Nesta,DF,,,,,,,,,
336,Chris Waddle,FW,,,,,,,,,
337,Adriano,FW,,,,,,,,,
338,Danny Blanchflower,MF,,,,,,,,,
339,John Wark,MF,,,,,,,,,
340,Raphael Varane,DF,,,,,,,,,
341,Robinho,FW,,,,,,,,,
342,Helmut Haller,FW,,,,,,,,,
343,Gonzalo Higuain,FW,,,,,,,,,
