ID,NAME,POS,DATEOFBIRTH,PLACEOFBIRTH,AGE,DATEOFDEATH,NATIONALITY,HEIGHT,WEIGHT,URL,STATUS,ID
55,Paolo Maldini,DF,"June 26, 1968",Milan ,57,,Italy,1m85,77,https://www.footballdatabase.eu/en/player/details/1637-paolo-maldini,SUCCESS,ee12e3a3-4d79-4995-842f-926b77032186
56,Jurgen Klinsmann,FW,"July 30, 1964",Göppingen ,61,,Germany,1m85,80,https://www.footballdatabase.eu/en/player/details/9104-jurgen-klinsmann,SUCCESS,84f35892-8b58-438b-afc2-49564e5f6542
58,David Beckham,MF,"May 02, 1975",London ,50,,England,1m82,74,https://www.footballdatabase.eu/en/player/details/878-david-beckham,SUCCESS,c973ff39-b1ab-4d3f-8596-82d33d581bb2
59,Thierry Henry,FW,"August 17, 1977",Les Ulis ,48,,France,1m88,83,https://www.footballdatabase.eu/en/player/details/5-thierry-henry,SUCCESS,bd1de0f4-fd5e-47de-9cbe-8a5941e8b64b
60,Andres Iniesta,MF,"May 11, 1984",Fuentealbilla ,41,,Spain,1m70,65,https://www.footballdatabase.eu/en/player/details/1790-andres-iniesta,SUCCESS,c0820efc-a1e6-4e42-a058-b5ed36a264eb
61,Dino Zoff,GK,"February 28, 1942",Mariano del Friuli - GO ,83,,Italy,1m82,78,https://www.footballdatabase.eu/en/player/details/11522-dino-zoff,SUCCESS,7a11ef5a-3688-4f62-b4f5-eeabba4425bf
62,John Charles,DF,"December 27, 1931",Swansea ,94,"February 21, 2004",Wales,1m88,90,https://www.footballdatabase.eu/en/player/details/51498-john-charles,SUCCESS,dfbcb164-066b-419a-bc74-4967b8aaeb9c
63,Raul,FW,"June 27, 1977",Madrid ,48,,Spain,1m80,73,https://www.footballdatabase.eu/en/player/details/14--raul,SUCCESS,4ed7b9b1-fc54-4854-be0b-2c2304c2e322
64,Gianluigi Buffon,GK,"January 28, 1978",Carrara ,47,,Italy,1m91,83,https://www.footballdatabase.eu/en/player/details/1591-gianluigi-buffon,SUCCESS,937adb6a-3f63-46ad-b277-6464fef1a586
66,Gabriel Batistuta,FW,"February 01, 1969",Reconquista ,56,,Argentina,1m85,73,https://www.footballdatabase.eu/en/player/details/863-gabriel-batistuta,SUCCESS,d87efaa8-6d4e-4af7-95f8-b629be9ae734
67,Giacinto Facchetti,DF,"July 18, 1942",Treviglio ,83,"September 04, 2006",Italy,1m88,85,https://www.footballdatabase.eu/en/player/details/16990-giacinto-facchetti,SUCCESS,e554eea0-5e8f-4305-8a9d-be45c48d0a56
70,Gary Lineker,FW,"November 30, 1960",Leicester ,65,,England,1m76,74,https://www.footballdatabase.eu/en/player/details/15868-gary-lineker,SUCCESS,e525e061-b734-4880-8542-9447bf5d01f3
71,Paul Breitner,DF,"September 05, 1951",Kolbermoor ,74,,Germany,1m76,73,https://www.footballdatabase.eu/en/player/details/16663-paul-breitner,SUCCESS,da704cf9-2395-4a9b-888f-65e258a82ad0
73,Dennis Bergkamp,FW,"May 10, 1969",Amsterdam ,56,,Netherlands,1m85,80,https://www.footballdatabase.eu/en/player/details/2155-dennis-bergkamp,SUCCESS,77ae5baf-f7cf-4439-a6a6-7fb151701e99
74,Preben Elkjaer,FW,"September 11, 1957",Frederiksberg ,68,,Denmark,1m82,74,https://www.footballdatabase.eu/en/player/details/16435-preben-elkjaer_larsen,SUCCESS,69b40642-32a0-430b-8d05-b7e9c23ddb56
75,Eric Cantona,FW,"May 24, 1966",Marseilles ,59,,France,1m86,81,https://www.footballdatabase.eu/en/player/details/9102-eric-cantona,SUCCESS,db575486-d9e0-45a3-9d51-7a262f331d5a
76,Deco,MF,"August 27, 1977",São Bernardo do Campo ,48,,Portugal,1m77,73,https://www.footballdatabase.eu/en/player/details/2513--deco,SUCCESS,3ffd61f2-3da7-4579-bc13-f8e3a1d214b0
77,Gordon Banks,GK,"December 30, 1937",Sheffield ,88,"February 12, 2019",England,1m82,82,https://www.footballdatabase.eu/en/player/details/16560-gordon-banks,SUCCESS,53190d04-8906-48b7-979e-eae7d71b2463
78,Davor Suker,FW,"January 01, 1968",Osijek ,57,,Croatia,1m83,77,https://www.footballdatabase.eu/en/player/details/5402-davor-suker,SUCCESS,dd30b7e2-e24e-4403-9db7-002df70b3a89
79,Rob Rensenbrink,MF,"July 03, 1947",Amsterdam ,78,"January 24, 2020",Netherlands,1m78,76,https://www.footballdatabase.eu/en/player/details/16492-robby-rensenbrink,SUCCESS,9b54bf08-1325-40f6-9434-b13400486fba
80,Bernd Schuster,MF,"December 22, 1959",Augsburg ,66,,Germany,1m81,74,https://www.footballdatabase.eu/en/player/details/8567-bernd-schuster,SUCCESS,3a211292-4900-4d71-93fe-70a38cd3010f
81,Luigi Riva,FW,"November 07, 1944",Leggiuno ,81,"January 22, 2024",Italy,1m80,78,https://www.footballdatabase.eu/en/player/details/32399-luigi-riva,SUCCESS,aacc5f09-4522-42f8-b86b-714ac950b5d3
82,Gunter Netzer,MF,"September 14, 1944",Mönchengladbach ,81,,Germany,1m78,75,https://www.footballdatabase.eu/en/player/details/16661-gunter-netzer,SUCCESS,538cb426-666f-4bdd-b893-6aa046005ee1
83,Alessandro Mazzola,MF,"June 15, 1969",Varese ,56,,Italy,1m81,74,https://www.footballdatabase.eu/en/player/details/24380-alessandro-mazzola,SUCCESS,c8b31d24-ec4c-4bdb-b0ce-c18a447384c8
84,Alain Giresse,MF,"August 02, 1952",Langoiran ,73,,France,1m63,60,https://www.footballdatabase.eu/en/player/details/4343-alain-giresse,SUCCESS,b2195994-c606-4c0c-ab15-10a705bd0d26
85,Hans Krankl,FW,"February 14, 1953",Vienna ,72,,Austria,1m82,77,https://www.footballdatabase.eu/en/player/details/16460-hans-krankl,SUCCESS,0f25d7dd-ba69-43e5-80df-8a7fd458a106
86,Helmut Rahn,FW,"August 16, 1929",Essen ,96,"August 14, 2003",Germany,,,https://www.footballdatabase.eu/en/player/details/44646-helmut-rahn,SUCCESS,e0d8d77a-106c-477f-a2bd-c6b96c2c642f
88,Paulo Futre,MF,"February 28, 1966",Montijo ,59,,Portugal,1m75,72,https://www.footballdatabase.eu/en/player/details/15833-paulo-futre,SUCCESS,0af2ae52-4e61-4dfc-8a9e-008635091f04
89,Predrag Mijatovic,FW,"January 19, 1969",Podgorica ,56,,Montenegro,1m77,73,https://www.footballdatabase.eu/en/player/details/5385-predrag-mijatovic,SUCCESS,3aab68f3-3a2b-41bd-888f-053e8a908e16
90,Jean Tigana,MF,"June 23, 1955",Bamako ,70,,France,1m72,63,https://www.footballdatabase.eu/en/player/details/2241-jean-tigana,SUCCESS,fd43e789-76d0-423a-9529-2208abd46fd4
91,Jairzinho,MF,"December 25, 1944",Duque de Caxias ,81,,Brazil,1m80,78,https://www.footballdatabase.eu/en/player/details/6116--jairzinho,SUCCESS,cc9cb908-9ab9-42c0-b643-31e24586107d
92,Rivelino,MF,"January 01, 1946",São Paulo ,79,,Brazil,1m75,70,https://www.footballdatabase.eu/en/player/details/36182-roberto-rivellino,SUCCESS,2ff18c4c-a7e6-4be2-b195-5bfa8f4ef15d
93,Giuseppe Meazza,FW,"August 23, 1910",Milan ,115,"August 21, 1979",Italy,1m69,,https://www.footballdatabase.eu/en/player/details/41236-giuseppe-meazza,SUCCESS,0e7423c3-5b34-4000-92e2-4b4a934dd0a5
94,Didi,MF,"October 08, 1928",Campos dos Goytacazes ,97,"May 12, 2001",Brazil,1m70,59,https://www.footballdatabase.eu/en/player/details/36175--didi,SUCCESS,9a7626ae-b7ab-4633-908d-18272fac382c
95,Billy Wright,DF,"February 06, 1924",Ironbridge ,101,"September 03, 1994",England,,,https://www.footballdatabase.eu/en/player/details/16543-billy-wright,SUCCESS,02a0e9ed-a09a-4ba1-94c4-7ec521c9fb2b
96,Salvatore Schillaci,FW,"December 01, 1964",Palermo ,61,"September 18, 2024",Italy,1m75,70,https://www.footballdatabase.eu/en/player/details/16433-salvatore-schillaci,SUCCESS,16f42b8e-7b2c-4afa-8696-28a5c20f2be3
97,Darko Pancev,FW,"September 07, 1965",Skopje ,60,,North,1m80,77,https://www.footballdatabase.eu/en/player/details/16468-darko-pancev,SUCCESS,c5bd1086-42e9-4649-92f6-99543d3c9801
98,Xavi,MF,"January 25, 1980",Terrassa ,45,,Spain,1m70,68,https://www.footballdatabase.eu/en/player/details/394--xavi,SUCCESS,b8ebe1f0-de5f-4d7d-b8c4-0ee5aa428440
99,Neymar,FW,"February 05, 1992",Mogi das Cruzes ,33,,Brazil,1m75,68,https://www.footballdatabase.eu/en/player/details/62381--neymar,SUCCESS,2d33bc48-d297-4ba6-88e3-f9dbdf63d739
100,Michael Laudrup,MF,"June 15, 1964",Frederiksberg ,61,,Denmark,1m82,82,https://www.footballdatabase.eu/en/player/details/5031-michael-laudrup,SUCCESS,daa0efdd-1b51-44d3-8d3e-b5ddffabc273
101,Zbigniew Boniek,MF,"March 03, 1956",Bydgoszcz ,69,,Poland,1m82,76,https://www.footballdatabase.eu/en/player/details/6678-zbigniew-boniek,SUCCESS,7781e4d1-6861-4af2-a0aa-68f13a53f759
